ID	speckling intensity	speckling sigma	maculation1 sigma	maculation1 threshold	maculation1 expansion	maculation1 gaussian	maculation1 CS sigma	maculation1 CS height	maculation1 CS length	maculation1 CS deposition	maculation2 sigma	maculation2 threshold	maculation2 gaussian	random walk	bg pigment	bg deposition	pttn1 pigment	pttn2 pigment	pttn2 deposition	pttn1 sigma	pttn2 sigma	pttn3 deposition	pttn3 rotation	pttn4 deposition	Parent1	Parent2
Gen0_Mut1_ID20	0.0444	0.6293	0.6355	0.4876	0.3372	0.7223	0.5329	0.4026	0.4792	0.0834	0.0311	0.2367	0.1582	0.38421903	0.5347	0.942706245	0.7974	0.5302	0.364	0.663798984	0.432793313	0.531498163	0.128320112	0.5914	none	none
Gen0_Mut1_ID17	0.9867	0.3481	0.5404	0.8286	0.3027	0.4767	0.6381	0.5083	0.6178	0.8047	0.0991	0.586887949	0.276452866	0.8177	0.2555	0.5873	0.7644	0.0603	0.2527	0.536246973	0	0	0.953	0	none	none
Gen0_Mut1_ID5	0.9122	0.4916	0.9269	0.2563	0.9173	0.8225	0.6229	0.1811	0.619	0.0092	0.2455	0.5764	0.2376	0.0957	0.6107	0.611737684	0.013503247	1	0	0.1323	0.357873014	0.6276	0.0215	0	none	none
Gen0_Mut1_ID6	0.9216	0.550162735	0.844	0.5457	0.1159	0.1085	0.5203	0.4401	0.758	0.1889	0.9122	0.5917	0.4403	0.2644	0.643333048	0.1618	0.1011	0.8601	0.915730995	0.9214	0.428460809	0.5455	0.420774829	0.813521374	none	none
Gen0_Mut1_ID15	0.5035	0.0096	0.9247	0.7651	0.2055	0.135	0.1547	0.447	0.353229253	0.0686	0.3612	0.6446	0.9285	0.0687	0.0818	0.4625	0.77601506	0.4322	0.6051	0.2041	0.287570564	0.63567835	0.539693527	0.5922	none	none
Gen0_Mut1_ID11	0.4681	0.2986	0.0566	0.9422	0.7922	0.1863	0.49	0.6059	0.3874	0.6866	1	0.566422315	0.1832	0.4574	0.0685	0.4175	0.334957918	0.6829	0.50554568	0.8063	0.9995	0.8237	0.6815	0.581867583	none	none
Gen1_Mut0_ID0	0.1128	0.7182	0.9471	0.9431	0.7824	0.8459	0.1633	0.0998	0.2212	0.5025	0.1263	0.2885	0.0465	0.9161	0.6537	0.3265	0.19	0.5188	0.1999	0.5177	0.7364	0.42	0.7776	0.5177	Par_Gen0_Mut0_ID10	Par_Gen0_Mut0_ID23
Gen1_Mut0_ID1	0.4561	0.1584	0.3931	0.0575	0.5362	0.2235	0.9394	0.6377	0.7612	0.4883	0.3311	0.4957	0.5095	0.3407	0.4035	0.5484	0.7574	0.3126	0.6035	0.7271	0.811	0.853	0.6511	0.401	Par_Gen0_Mut0_ID10	Par_Gen0_Mut0_ID23
Gen1_Mut0_ID2	0.2383	0.196	0.8578	0.8968	0.9659	0.3764	0.4823	0.271	0.6248	0.2629	0.7138	0.1724	0.3905	0.5904	0.4667	0.5106	0.9868	0.9249	0.7443	0.5807	0.83	0.2839	0.0677	0.7423	Par_Gen0_Mut0_ID21	Par_Gen0_Mut0_ID7
Gen1_Mut0_ID3	0.5506	0.6264	0.7688	0.0295	0.0337	0.2173	0.3059	0.6578	0.9276	0.4017	0.1141	0.2393	0.6474	0.935	0.5479	0.7046	0.0347	0.108	0.6554	0.6906	0.819	0.2404	0.7582	0.6906	Par_Gen0_Mut0_ID21	Par_Gen0_Mut0_ID7
Gen1_Mut0_ID4	0.9242	0.2039	0.2877	0.0882	0.08848	0.7002	0.2783	0.0018	0.5065	0.5756	0.7984	0.0833	0.1272	0.6512	0.419	0.7162	0.0853	0.4583	0.2289	0.4938	0.544	0.7357	0.5283	0.648	Par_Gen0_Mut0_ID22	Par_Gen0_Mut0_ID12
Gen1_Mut0_ID5	0.9405	0.8854	0.6626	0.1757	0.2405	0.5613	0.1141	0.9655	0.6675	0.2852	0.6152	0.052	0.1608	0.9458	0.6501	0.9156	0.901	0.6363	0.4333	0.1621	0.1996	0.7298	0.9725	0.9156	Par_Gen0_Mut0_ID22	Par_Gen0_Mut0_ID12
Gen1_Mut0_ID6	0.4561	0.1584	0.3931	0.9431	0.9055	0.2235	0.1633	0.6377	0.7612	0.4836	0.1673	0.2885	0.5095	0.3407	0.4035	0.401	0.19	0.8103	0.1999	0.257	0.811	0.853	0.7776	0.401	Par_Gen0_Mut0_ID23	Par_Gen0_Mut0_ID10
Gen1_Mut0_ID7	0.1128	0.7182	0.9471	0.0575	0.4131	0.8459	0.9394	0.0998	0.2212	0.5072	0.2901	0.4957	0.0465	0.9161	0.6537	0.3265	0.7574	0.5188	0.6035	0.6096	0.6619	0.0338	0.6511	0.5177	Par_Gen0_Mut0_ID23	Par_Gen0_Mut0_ID10
Gen1_Mut0_ID8	0.787	0.2039	0.8875	0.1465	0.03698	0.2173	0.1141	0.8266	0.4529	0.2852	0.1141	0.06538	0.1627	0.935	0.6297	0.7046	0.6665	0.9249	0.6554	0.4938	0.2581	0.6435	0.9725	0.7423	Par_Gen0_Mut0_ID7	Par_Gen0_Mut0_ID12
