ID	speckling_intensity	speckling_sigma	maculation1_X	maculation1_Y	maculation1_threshold	maculation1_sigma	maculation1_expansion	maculation1_CS_sigma	maculation1_CS_height	maculation1_CS_length	maculation1_CS_deposition	maculation2_X	maculation2_Y	maculation2_sigma	random_walk	bg_pigment	bg_deposition	unit_P_0	pttn1_pigment	unit_P_1	pttn2_pigment	unit_P_N	unit_D_0	pttn1_deposition	unit_D_1	pttn2_deposition	unit_D_N	pttn1_sigma	pttn2_sigma	pttn3_deposition	pttn4_deposition	pttn3_rotation	pttn4_rotation	Parent1	Parent2
Gen0_Mut0_ID0	0.0032	0.4989	0.5084	0.5035	0.7317	0.0302	0.4899	0.0077	0.0204	0.8661	0.6867	0.8849	0.3031	0.3397	0.4924	0.7161	0.6006	0.696070237	0.8254	0.257096394	0.9052	0.512385087	0.890493256	0.0626	0.446647467	0.1149	0.450316456	0.3348	0.1672	0.7812	0.3842	0.8075	0.3651	none	none
Gen0_Mut0_ID1	0.2716	0.7744	0.532	0.9833	0.4524	0.2497	0.8383	0.4831	0.0877	0.7917	0.2949	0.5722	0.1956	0.1602	0.6363	0.5224	0.5908	0.596436544	0.4691	0.0045555	0.0885	0.144825279	0.829295851	0.2138	0.838774463	0.2066	0.557102984	0.9195	0.5371	0.7619	0.6708	0.4005	0.9775	none	none
Gen0_Mut0_ID2	0.3541	0.996	0.8081	0.4453	0.213	0.254	0.2195	0.6929	0.5144	0.8582	0.0215	0.8279	0.1206	0.4009	0.8706	0.7082	0.5633	0.057215663	0.3443	0.342542622	0.7066	0.711110409	0.759360556	0.3125	0.77295998	0.0979	0.051610983	0.3341	0.8789	0.4293	0.9891	0.9947	0.9854	none	none
Gen0_Mut0_ID3	0.3481	0.4246	0.526	0.0339	0.8713	0.749	0.756	0.0076	0.7873	0.7592	0.704	0.1656	0.7977	0.429	0.3434	0.4415	0.7747	0.462732514	0.0382	0.478175533	0.714	0.107064881	0.577033846	0.1175	0.222526676	0.1403	0.851007512	0.1095	0.9968	0.5459	0.4549	0.1054	0.9547	none	none
Gen0_Mut0_ID4	0.0653	0.4834	0.7759	0.5191	0.4171	0.804	0.6792	0.1987	0.9052	0.4897	0.6774	0.42	0.262	0.9313	0.7275	0.8685	0.6853	0.902537822	0.4001	0.801917062	0.1282	0.998524677	0.70461059	0.3963	0.803165171	0.7922	0.174327111	0.8696	0.1427	0.0811	0.9819	0.2999	0.5449	none	none
Gen0_Mut0_ID5	0.5836	0.0882	0.5932	0.3961	0.0301	0.9232	0.5586	0.7519	0.2723	0.5316	0.6759	0.6694	0.5202	0.9009	0.9972	0.8429	0.0276	0.205878292	0.6511	0.186509176	0.0406	0.127425265	0.278848917	0.4277	0.032832102	0.7213	0.977182713	0.0763	0.7832	0.1309	0.983	0.4065	0.7046	none	none
Gen0_Mut0_ID6	0.8544	0.3683	0.5248	0.4883	0.6076	0.1524	0.8658	0.2554	0.6134	0.0327	0.4121	0.6354	0.8753	0.983	0.5796	0.1746	0.4115	0.978810343	0.2042	0.651404076	0.4748	0.763585213	0.246761399	0.9903	0.929325419	0.0025	0.889299998	0.3032	0.1219	0.7326	0.4324	0.134	0.5455	none	none
Gen0_Mut0_ID7	0.0257	0.4661	0.4378	0.5806	0.0896	0.0854	0.6182	0.8362	0.3217	0.8869	0.9826	0.0494	0.2521	0.4783	0.0461	0.158	0.0734	0.143173206	0.9251	0.046127353	0.3107	0.356193817	0.090553604	0.949	0.095640152	0.4702	0.313799936	0.3256	0.665	0.067	0.4871	0.1139	0.7667	none	none
Gen0_Mut0_ID8	0.0937	0.2385	0.4305	0.3395	0.3675	0.547	0.5467	0.7296	0.554	0.5455	0.2594	0.7083	0.5977	0.4694	0.9354	0.958	0.0258	0.708741085	0.7753	0.624283247	0.4477	0.739296791	0.959370507	0.3508	0.966143493	0.8145	0.733967209	0.0468	0.5373	0.5951	0.9686	0.5131	0.4307	none	none
Gen0_Mut0_ID9	0.2716	0.7744	0.532	0.9833	0.4524	0.2497	0.8383	0.4831	0.0877	0.7917	0.2949	0.5722	0.1956	0.1602	0.4363	0.5779	0.1558	0.171817603	0.54	0.700306974	0.9956	0.129520483	0.738647118	0.1776	0.570663375	0.7141	0.389397764	0.517	0.5073	0.4573	0.2099	0.7791	0.4331	none	none
Gen0_Mut0_ID10	0.0337	0.1435	0.7759	0.5084	0.6425	0.4078	0.6978	0.3027	0.5506	0.0671	0.2305	0.3054	0.3846	0.9329	0.1344	0.2007	0.4843	0.37054594	0.8042	0.700789209	0.3567	0.043657837	0.256231605	0.3806	0.349323801	0.6897	0.33531778	0.5786	0.633	0.1597	0.7977	0.5449	0.0809	none	none
Gen0_Mut0_ID11	0.6013	0.2688	0.9589	0.7265	0.3409	0.4773	0.7943	0.5684	0.3054	0.5707	0.1156	0.2186	0.7624	0.8995	0.7565	0.3798	0.7066	0.190298813	0.3099	0.676844378	0.6033	0.109400708	0.262207914	0.4209	0.553851328	0.1949	0.402119218	0.4351	0.7003	0.0936	0.1486	0.8727	0.939	none	none
Gen0_Mut0_ID12	0.6038	0.952	0.1613	0.6358	0.724	0.3973	0.5066	0.108	0.9629	0.1262	0.6971	0.5014	0.8605	0.8282	0.0814	0.5138	0.2848	0.290450392	0.7941	0.826651295	0.4559	0.558946127	0.830754021	0.5698	0.647570084	0.394	0.363468301	0.7903	0.9556	0.3487	0.0481	0.8991	0.6601	none	none
Gen0_Mut0_ID13	0.2081	0.1343	0.185	0.5315	0.7026	0.0843	0.9119	0.456	0.9157	0.9498	0.7395	0.2852	0.9296	0.9274	0.7065	0.7164	0.8948	0.617677212	0.1862	0.710289369	0.0087	0.481407663	0.648451462	0.5095	0.218015888	0.5365	0.833014908	0.1434	0.4373	0.4313	0.1193	0.3126	0.4689	none	none
Gen0_Mut0_ID14	0.6939	0.8567	0.8997	0.5066	0.7688	0.8318	0.0138	0.9069	0.0067	0.3452	0.6009	0.5912	0.324	0.6304	0.5823	0.2388	0.3236	0.173745749	0.7902	0.631247775	0.4805	0.364896194	0.883598174	0.2827	0.942340629	0.6144	0.270374827	0.0097	0.6387	0.1919	0.8032	0.7614	0.776	none	none
Gen0_Mut0_ID15	0.8114	0.2557	0.5325	0.79	0.8529	0.1288	0.653	0.463	0.9828	0.351	0.8819	0.2668	0.3369	0.9522	0.7601	0.7686	0.7053	0.078630356	0.8823	0.827455615	0.8836	0.511748027	0.795089871	0.2392	0.98085955	0.0811	0.116813689	0.9893	0.4188	0.939	0.1348	0.738	0.3817	none	none
Gen0_Mut0_ID16	0.5667	0.1922	0.1257	0.3095	0.2664	0.5969	0.133	0.5543	0.8082	0.0641	0.7564	0.4306	0.2156	0.7828	0.2628	0.665	0.3576	0.152569001	0.4835	0.20383675	0.7993	0.311722079	0.115370339	0.001	0.785196099	0.2919	0.120357826	0.4018	0.4299	0.4792	0.1328	0.5203	0.4876	none	none
Gen0_Mut0_ID17	0.7624	0.0053	0.042	0.9491	0.8756	0.423	0.752	0.9112	0.7704	0.1585	0.4767	0.8223	0.7836	0.2557	0.4709	0.7453	0.7212	0.369330454	0.476	0.65164513	0.271	0.608262354	0.722172043	0.1306	0.184522845	0.0379	0.78517987	0.1452	0.1589	0.2722	0.8163	0.7606	0.1574	none	none
Gen0_Mut0_ID18	0.0394	0.5747	0.1165	0.6382	0.2769	0.3278	0.5179	0.6018	0.4086	0.5709	0.9318	0.6964	0.204	0.6601	0.963	0.0852	0.3665	0.316558009	0.3706	0.744559085	0.3817	0.224186051	0.501063225	0.34	0.793493968	0.5935	0.613974458	0.9372	0.8702	0.6437	0.9283	0.0209	0.3853	none	none
Gen0_Mut0_ID19	0.7166	0.5135	0.3851	0.5393	0.0477	0.0928	0.2133	0.2483	0.2078	0.9027	0.9023	0.5219	0.2479	0.5064	0.263	0.6759	0.4481	0.260117711	0.9798	0.814234165	0.0274	0.196347893	0.170877778	0.4383	0.775589684	0.9674	0.347006617	0.2212	0.8308	0.3877	0.1325	0.2723	0.3133	none	none
Gen0_Mut0_ID20	0.9153	0.5684	0.8429	0.8158	0.4337	0.847	0.9453	0.4241	0.8671	0.5735	0.7947	0.9185	0.5577	0.4879	0.2751	0.5224	0.5908	0.279092059	0.4691	0.715366569	0.0885	0.827239768	0.076871592	0.2138	0.791486766	0.2066	0.815669229	0.9195	0.5371	0.7619	0.6708	0.4005	0.9775	none	none
Gen0_Mut0_ID21	0.5802	0.0324	0.9786	0.6091	0.9529	0.7727	0.7795	0.0271	0.1802	0.9856	0.0171	0.0156	0.7167	0.2243	0.5066	0.3896	0.43	0.672800516	0.3469	0.870512567	0.5076	0.274982569	0.470156001	0.301	0.832091154	0.6945	0.00834805	0.3974	0.898	0.3168	0.2952	0.1528	0.6049	none	none
Gen0_Mut0_ID22	0.753	0.6288	0.0722	0.7349	0.1959	0.854	0.8594	0.6692	0.8853	0.3826	0.0821	0.2419	0.6442	0.3135	0.3514	0.0023	0.3408	0.68436123	0.2126	0.321374513	0.3524	0.182171408	0.624821449	0.4785	0.524583738	0.4481	0.002450098	0.9322	0.629	0.3035	0.8639	0.1241	0.5354	none	none
Gen0_Mut0_ID23	0.0465	0.3803	0.528	0.7851	0.5965	0.3256	0.3017	0.9662	0.9887	0.1816	0.5203	0.1111	0.6334	0.7446	0.1465	0.9089	0.0107	0.395916189	0.242	0.925342673	0.6952	0.528956616	0.901245521	0.4332	0.435410591	0.0282	0.639889339	0.0743	0.1295	0.3187	0.7658	0.4026	0.9927	none	none
