ID	speckling intensity	speckling sigma	pttn x	pttn y	pttn width	pttn aspect ratio	pttn angle	pttn coverage	pttn CS sigma	pttn CS height	pttn CS angle	EE intensity	EE sigma	unit_C_0	pttn L	pttn A	pttn B	unit_C_1	top L	top A	top B	unit_C_2	bottom L	bottom A	bottom B	unit_C_N	col sigma	col height	specular pttn	specular bkg
1	0.941207412	0.46817502	0.894957242	0.877859502	0.521339612	0.63063146	0.347510771	0.300364248	0.652147902	0.974065234	0.897919012	0.637660989	0.180427905	0.864261485	0.578768479	0.886001003	0.405051107	0.526041447	0.588758357	0.407774602	0.536601004	0.434681299	0.585792632	0.891513093	0.779445068	0.460490106	0.302763796	0.878755611	0.580691365	0.575706543
2	0.94908425	0.966932226	0.154316775	0.55893667	0.415091704	0.749170403	0.157890382	0.610404268	0.363916706	0.430184578	0.763479959	0.803201548	0.84430607	0.204559477	0.155579616	0.885875284	0.31492739	0.258962806	0.670379391	0.730847666	0.034284566	0.299895775	0.927760413	0.664637866	0.346983652	0.363200501	0.147561826	0.664692894	0.618966239	0.224666224
3	0.543495149	0.361122033	0.466259175	0.079911267	0.373617522	0.489213931	0.479553676	0.769760562	0.386242331	0.195052734	0.349762965	0.833923021	0.934899735	0.979646951	0.526252093	0.197540726	0.44747029	0.385063247	0.982074699	0.797545037	0.358839456	0.182143784	0.589732667	0.546944763	0.815138178	0.259289383	0.604105828	0.472062294	0.285738747	0.970391831
4	0.958952983	0.909039179	0.997532601	0.641978032	0.440022448	0.389717982	0.085978596	0.176777617	0.99077011	0.528638563	0.402944534	0.156582671	0.202097598	0.8472211	0.013614214	0.846298104	0.374645782	0.728746006	0.720417191	0.594708676	0.503831282	0.057584173	0.195525803	0.467221129	0.478063645	0.010205292	0.635391242	0.159910236	0.233991091	0.459722572
5	0.28662128	0.404087484	0.000366247	0.309721544	0.077846011	0.873439317	0.908975316	0.879219087	0.899602835	0.743652781	0.596295176	0.252438126	0.410623102	0.365696659	0.294437874	0.265691613	0.26916173	0.81410315	0.906758043	0.293395452	0.948031168	0.212436916	0.430732868	0.784230887	0.023101729	0.06081056	0.02337692	0.066097479	0.266234218	0.836816885
6	0.121271082	0.935619262	0.408393016	0.013700058	0.8803066	0.37432072	0.230492755	0.129936889	0.438297795	0.282714262	0.862605798	0.87361558	0.151123922	0.912589087	0.748519148	0.085687068	0.569897136	0.409012127	0.174762425	0.152739495	0.558787536	0.024417601	0.155072951	0.882668322	0.41560367	0.593966584	0.39636642	0.927527277	0.181761266	0.990120405
7	0.19272036	0.002045409	0.914274356	0.397595651	0.081586097	0.760889308	0.540074085	0.667063632	0.114658604	0.007754039	0.103146279	0.898082753	0.019555909	0.65881903	0.296950962	0.758903372	0.930994623	0.542662587	0.513115247	0.256916845	0.705753342	0.399957147	0.284430443	0.113777626	0.032399206	0.832924023	0.040693414	0.981132531	0.710220501	0.781954954
8	0.572444542	0.102921146	0.001816241	0.992172493	0.215782342	0.67262955	0.754198489	0.534475403	0.944659967	0.19782628	0.051797025	0.627286977	0.377760525	0.961706882	0.852368571	0.724218452	0.543399829	0.68895776	0.276444066	0.443217369	0.265444629	0.363686864	0.462946402	0.597322037	0.316380322	0.03608239	0.822019294	0.574490186	0.837605215	0.735843591
9	0.996952768	0.166425275	0.123110462	0.309720032	0.358067218	0.691889398	0.513675111	0.886182109	0.131804125	0.749836157	0.856825787	0.533790337	0.826020033	0.227978846	0.183785186	0.136463404	0.140470867	0.854228785	0.506663168	0.313491571	0.480316792	0.374860399	0.890785979	0.969027957	0.088641648	0.503187229	0.100545433	0.462371336	0.471002705	0.127689548
10	0.707706638	0.500461407	0.693094755	0.64327987	0.324952324	0.997484446	0.017519309	0.455723163	0.186399768	0.541581285	0.23492661	0.45113055	0.787703174	0.943207955	0.616608755	0.269646454	0.926471946	0.186374659	0.537857932	0.211174072	0.517742515	0.970923254	0.54837431	0.951497286	0.809664647	0.26532802	0.737931773	0.088042302	0.347793405	0.440219545
11	0.53975761	0.952871642	0.272007479	0.24120678	0.598919197	0.311787933	0.304295	0.329115109	0.551106937	0.489387699	0.844888431	0.261582296	0.479546294	0.880827841	0.23046692	0.380356614	0.761584596	0.399265194	0.831457753	0.517138789	0.410360753	0.049282706	0.612114853	0.070589996	0.330410766	0.749328692	0.882955091	0.539418745	0.869940346	0.271048804
12	0.367450924	0.453912789	0.521989402	0.790620589	0.958838958	0.933739873	0.449655636	0.598030152	0.754301143	0.569320208	0.429646973	0.722499591	0.105870832	0.565760486	0.139661677	0.477502586	0.274965026	0.272620859	0.588876699	0.726286904	0.229130954	0.229518074	0.438248645	0.806441489	0.254334273	0.183292823	0.2721835	0.40312544	0.273617588	0.460139899
13	0.80162604	0.591625677	0.029452445	0.07009435	0.466555141	0.317360074	0.517750219	0.375141056	0.512540303	0.305981361	0.816704503	0.100904978	0.115627321	0.300089366	0.194968254	0.878118126	0.788222944	0.340563043	0.798142538	0.889545443	0.96010223	0.719135188	0.784738283	0.388875533	0.077495374	0.539807829	0.949242028	0.905256873	0.125007507	0.884572596
14	0.837661141	0.268325984	0.176748929	0.111365584	0.38558731	0.402953522	0.615685052	0.25609026	0.815205311	0.111610163	0.998805379	0.790766056	0.65632283	0.100597818	0.460202287	0.076447465	0.885131564	0.859608393	0.602134866	0.584964042	0.799822205	0.993416555	0.666217076	0.205929403	0.266681241	0.792618174	0.45301099	0.403790663	0.8750494	0.904225097
15	0.261948112	0.952413235	0.537799951	0.910170896	0.393980858	0.137645587	0.545963374	0.860442922	0.477110628	0.108615193	0.733778891	0.969235638	0.096379368	0.905658266	0.208352714	0.665635741	0.83140598	0.112224254	0.701133745	0.691884153	0.308655353	0.680014994	0.408641076	0.884863559	0.089791683	0.354834588	0.181687498	0.195097111	0.245645139	0.78365493
16	0.880368562	0.32515667	0.006662727	0.923753156	0.83798046	0.395426993	0.393105518	0.406567143	0.978171486	0.399959826	0.688510386	0.493077658	0.066297489	0.330648493	0.639839791	0.556939839	0.734453036	0.814417161	0.074137636	0.587371596	0.476768998	0.241431366	0.85256548	0.883775874	0.052318802	0.905046664	0.000867653	0.80428121	0.416080272	0.069399121
17	0.922283179	0.0030326	0.49861244	0.771016908	0.594181225	0.18783972	0.262504242	0.254489364	0.520393438	0.842671288	0.777567999	0.511916748	0.794998494	0.244922485	0.022536977	0.02673089	0.54102445	0.869279118	0.027654871	0.133893619	0.679636145	0.639376473	0.092684525	0.121262484	0.935441068	0.01515932	0.770003492	0.537671759	0.292157297	0.994123542
18	0.790241447	0.177427395	0.095059534	0.369098754	0.871239248	0.786790656	0.125567951	0.2437502	0.039381136	0.014626172	0.722070596	0.241962116	0.931602682	0.845850673	0.242968061	0.146265464	0.583309881	0.399864322	0.512892188	0.724617921	0.842144598	0.107417032	0.834106874	0.369133704	0.045773961	0.323679198	0.91068371	0.831953503	0.036277724	0.686715029
19	0.596193784	0.138660997	0.132837794	0.803760236	0.500042133	0.316317885	0.46477734	0.057349903	0.298876495	0.873041183	0.611765952	0.158759098	0.448055062	0.862487729	0.234883261	0.67959969	0.347080317	0.377415384	0.505484676	0.359977792	0.160113792	0.241021361	0.742984405	0.330558944	0.10723327	0.005377781	0.252636524	0.75039335	0.765256641	0.04922679
