ID	speckling_intensity	speckling_sigma	maculation1_X	maculation1_Y	maculation1_threshold	maculation1_sigma	maculation1_expansion	maculation1_CS_sigma	maculation1_CS_height	maculation1_CS_length	maculation1_CS_deposition	maculation2_X	maculation2_Y	maculation2_sigma	random_walk	bg_pigment	bg_deposition	unit_P_0	pttn1_pigment	unit_P_1	pttn2_pigment	unit_P_N	unit_D_0	pttn1_deposition	unit_D_1	pttn2_deposition	unit_D_N	pttn1_sigma	pttn2_sigma	pttn3_deposition	pttn4_deposition	pttn3_rotation	pttn4_rotation	Parent1	Parent2
Gen0_Mut1_ID13	0.208100000	0.134300000	0.185000000	0.531500000	0.702600000	0.084300000	0.911900000	0.456000000	0.915700000	0.949800000	0.865258092	0.285200000	0.929600000	0.927400000	0.459164080	0.716400000	0.894800000	0.617677212	0.186200000	0.242264522	0.135958081	0.242264522	0.648451462	0.509500000	0.218015888	0.206557548	0.833014908	0.000000000	0.103605007	0.431300000	0.000000000	0.312600000	0.166259483	none	none
Gen0_Mut1_ID16	0.566700000	0.192200000	0.125700000	0.309500000	0.266400000	0.484359739	0.133000000	0.554300000	0.808200000	0.064100000	0.566142685	0.430600000	0.215600000	0.575331101	0.262800000	0.665000000	0.357600000	0.152569001	0.788085787	0.203836750	0.799300000	0.311722079	0.300353339	0.001000000	0.785196099	0.577260507	0.120357826	0.401800000	0.192025831	0.755330555	0.286730523	0.520300000	0.207836590	none	none
Gen0_Mut1_ID23	0.046500000	0.380300000	0.528000000	0.785100000	0.596500000	0.325600000	0.301700000	1.000000000	0.988700000	0.181600000	0.520300000	0.111100000	0.633400000	0.744600000	0.146500000	0.753326944	0.000000000	0.395916189	0.242000000	0.925342673	0.695200000	0.209305042	0.901245521	0.282238247	0.435410591	0.000000000	0.495641308	0.212390317	0.129500000	0.642526357	1.000000000	0.043134428	0.782985164	none	none
Gen0_Mut1_ID20	0.915300000	0.568400000	0.842900000	0.589506118	0.433700000	0.847000000	0.945300000	0.670926745	0.867100000	0.388194696	0.511216600	0.918500000	0.429159188	0.715046814	0.557048285	0.522400000	0.590800000	0.279092059	0.310556454	1.000000000	0.088500000	0.827239768	0.076871592	0.213800000	0.626629475	0.206600000	0.587871556	0.919500000	0.537100000	0.619220511	0.670800000	0.400500000	0.697799042	none	none
Gen0_Mut1_ID3	0.348100000	0.424600000	0.526000000	0.033900000	0.871300000	0.918725088	0.756000000	0.007600000	0.787300000	0.759200000	0.704000000	0.165600000	0.797700000	0.301183546	0.343400000	0.441500000	0.774700000	0.462732514	0.038200000	0.478175533	0.929862788	0.107064881	0.577033846	0.117500000	0.507336280	0.140300000	0.851007512	0.000000000	0.688803287	0.545900000	0.089811238	0.000000000	0.954700000	none	none
Gen0_Mut1_ID19	0.716600000	0.513500000	0.385100000	0.539300000	0.047700000	0.092800000	0.364759482	0.248300000	0.207800000	0.902700000	0.902300000	0.521900000	0.247900000	0.657806386	0.263000000	0.675900000	0.448100000	0.090855467	0.721540670	1.000000000	0.173913697	0.000000000	0.000000000	0.762939457	0.549880252	1.000000000	0.488853898	0.221200000	0.830800000	0.244092828	0.000000000	0.418538553	0.313300000	none	none
Gen1_Mut0_ID0	0.580200000	0.952000000	0.161300000	0.635800000	0.724000000	0.397300000	0.506600000	0.108000000	0.962900000	0.985600000	0.697100000	0.501400000	0.860500000	0.828200000	0.081400000	0.513800000	0.284800000	0.672800516	0.346900000	0.870512567	0.455900000	0.274982569	0.470156001	0.569800000	0.647570084	0.394000000	0.363468301	0.790300000	0.898000000	0.348700000	0.048100000	0.302100000	0.618700000	Par_Gen0_Mut0_ID12	Par_Gen0_Mut0_ID21
Gen1_Mut0_ID1	0.603800000	0.032400000	0.978600000	0.609100000	0.952900000	0.772700000	0.779500000	0.027100000	0.180200000	0.126200000	0.017100000	0.015600000	0.716700000	0.224300000	0.506600000	0.389600000	0.430000000	0.008348050	0.830754021	0.794100000	0.008348050	0.507600000	0.826651295	0.558946127	0.397400000	0.301000000	0.290450392	0.694500000	0.955600000	0.316800000	0.295200000	0.749800000	0.646300000	Par_Gen0_Mut0_ID12	Par_Gen0_Mut0_ID21
Gen1_Mut0_ID2	0.693900000	0.466100000	0.437800000	0.506600000	0.089600000	0.682500000	0.013800000	0.836200000	0.006700000	0.886900000	0.600900000	0.049400000	0.252100000	0.630400000	0.046100000	0.222600000	0.261100000	0.173745749	0.823900000	0.631247775	0.310700000	0.356193817	0.727061497	0.282700000	0.095640152	0.614400000	0.270374827	0.009700000	0.665000000	0.067000000	0.487100000	0.113900000	0.766700000	Par_Gen0_Mut0_ID7	Par_Gen0_Mut0_ID14
Gen1_Mut0_ID3	0.025700000	0.856700000	0.899700000	0.580600000	0.768800000	0.234700000	0.618200000	0.906900000	0.321700000	0.345200000	0.982600000	0.591200000	0.324000000	0.478300000	0.582300000	0.174200000	0.136000000	0.143173206	0.891400000	0.046127353	0.480500000	0.046127353	0.090553604	0.949000000	0.942340629	0.470200000	0.313799936	0.325600000	0.638700000	0.191900000	0.803200000	0.761400000	0.776000000	Par_Gen0_Mut0_ID7	Par_Gen0_Mut0_ID14
Gen1_Mut0_ID4	0.271600000	0.774400000	0.532000000	0.983300000	0.452400000	0.249700000	0.838300000	0.483100000	0.087700000	0.791700000	0.294900000	0.572200000	0.195600000	0.160200000	0.636300000	0.533500000	0.155800000	0.171817603	0.469100000	0.700306974	0.088500000	0.129520483	0.738647118	0.204700000	0.557102984	0.714100000	0.557102984	0.919500000	0.507300000	0.457300000	0.578600000	0.779100000	0.977500000	Par_Gen0_Mut0_ID9	Par_Gen0_Mut0_ID1
Gen1_Mut0_ID5	0.271600000	0.774400000	0.532000000	0.983300000	0.452400000	0.249700000	0.838300000	0.483100000	0.087700000	0.791700000	0.294900000	0.572200000	0.195600000	0.160200000	0.436300000	0.566800000	0.590800000	0.596436544	0.540000000	0.144825279	0.995600000	0.144825279	0.829295851	0.186700000	0.570663375	0.206600000	0.389397764	0.517000000	0.537100000	0.761900000	0.302100000	0.400500000	0.433100000	Par_Gen0_Mut0_ID9	Par_Gen0_Mut0_ID1
Gen1_Mut0_ID6	0.271600000	0.907600000	0.161300000	0.635800000	0.669700000	0.249700000	0.506600000	0.483100000	0.962900000	0.259300000	0.294900000	0.501400000	0.727500000	0.661200000	0.636300000	0.513800000	0.590800000	0.351600000	0.469100000	0.826651295	0.088500000	0.476100000	0.829295851	0.213800000	0.838774463	0.206600000	0.557102984	0.919500000	0.537100000	0.761900000	0.172600000	0.899100000	0.660100000	Par_Gen0_Mut0_ID1	Par_Gen0_Mut0_ID12
Gen1_Mut0_ID7	0.603800000	0.818800000	0.532000000	0.983300000	0.506700000	0.397300000	0.838300000	0.108000000	0.087700000	0.658600000	0.697100000	0.572200000	0.328600000	0.327200000	0.081400000	0.522400000	0.284800000	0.535200000	0.794100000	0.004555500	0.455900000	0.227600000	0.830754021	0.569800000	0.647570084	0.394000000	0.363468301	0.790300000	0.955600000	0.348700000	0.546300000	0.400500000	0.977500000	Par_Gen0_Mut0_ID1	Par_Gen0_Mut0_ID12
Gen1_Mut0_ID8	0.693900000	0.856700000	0.899700000	0.506600000	0.768800000	0.831800000	0.673400000	0.483100000	0.006700000	0.791700000	0.600900000	0.591200000	0.324000000	0.160200000	0.436300000	0.238800000	0.323600000	0.173745749	0.790200000	0.677300000	0.480500000	0.129520483	0.738647118	0.198600000	0.942340629	0.714100000	0.389397764	0.517000000	0.507300000	0.404200000	0.803200000	0.761400000	0.433100000	Par_Gen0_Mut0_ID14	Par_Gen0_Mut0_ID9
Gen1_Mut0_ID9	0.271600000	0.774400000	0.532000000	0.983300000	0.452400000	0.249700000	0.178700000	0.906900000	0.087700000	0.345200000	0.294900000	0.572200000	0.195600000	0.630400000	0.582300000	0.577900000	0.155800000	0.171817603	0.540000000	0.654300000	0.995600000	0.364896194	0.883598174	0.261700000	0.570663375	0.614400000	0.270374827	0.009700000	0.638700000	0.245000000	0.209900000	0.779100000	0.776000000	Par_Gen0_Mut0_ID14	Par_Gen0_Mut0_ID9
Gen1_Mut0_ID10	0.025700000	0.466100000	0.978600000	0.580600000	0.952900000	0.772700000	0.747200000	0.027100000	0.180200000	0.965900000	0.982600000	0.024050000	0.252100000	0.478300000	0.414500000	0.389600000	0.430000000	0.143173206	0.346900000	0.870512567	0.458400000	0.274982569	0.090553604	0.430600000	0.684800000	0.470200000	0.313799936	0.397400000	0.851400000	0.316800000	0.359200000	0.143100000	0.637300000	Par_Gen0_Mut0_ID7	Par_Gen0_Mut0_ID21
Gen1_Mut0_ID11	0.580200000	0.032400000	0.437800000	0.609100000	0.089600000	0.085400000	0.650500000	0.836200000	0.321700000	0.906600000	0.017100000	0.040950000	0.716700000	0.224300000	0.138200000	0.158000000	0.073400000	0.672800516	0.925100000	0.046127353	0.359900000	0.046127353	0.470156001	0.819400000	0.242900000	0.694500000	0.008348050	0.325600000	0.711600000	0.067000000	0.423100000	0.123600000	0.734300000	Par_Gen0_Mut0_ID7	Par_Gen0_Mut0_ID21
