ID	Penzance	StIves	Newquay	BurhamonSea	Minehead	Lifracombe	WestonsuperMare	Barry	Porthcawl	Conwy	Prestalyn	Southport	Greater_Blackpool	Heysham	Greater_Ayr	Duncoon	Whitley_Bay	Whitby	Scarborough	Bridlington	Skegness	Greater_Yarmouth	Lowestoft	Clacton	SouthendonSea	Herne_Bay	Thanet	Deal	Hythe	Bexhill	Eastbourne	Greater_Brighton	Greater_Worthing	Bogner_Regis	Greater_Bourneworth	Swanage	Weymouth	Sidmouth	Exmouth	Teigmouth	Torbay	Falmouth	Parent1	Parent2
Gen0_Mut0_ID0	0.037218104	0.580104210	0.770200331	0.295802561	0.251692224	0.051606118	0.504490334	0.661048771	0.340216754	0.154143683	0.053356209	0.235931847	0.662494855	0.131173691	0.066043834	0.124660608	0.368894512	0.728606089	0.220013863	0.598490780	0.123671903	0.272871971	0.459153698	0.617938470	0.991419159	0.741538328	0.369838156	0.722189631	0.901073410	0.034996607	0.418258301	0.197845797	0.540301022	0.197790471	0.976539043	0.369809366	0.752797042	0.909437649	0.550517866	0.319027176	0.512017120	0.167139768	none	none
Gen0_Mut0_ID1	0.327084838	0.716562653	0.699424845	0.855171611	0.500094725	0.451909519	0.033543007	0.979705940	0.998757512	0.702797605	0.997928322	0.675612554	0.834310514	0.052988595	0.359659252	0.604172845	0.741842807	0.094811797	0.771228822	0.593571006	0.648661855	0.313158254	0.802407147	0.240028636	0.886053646	0.114213066	0.699399830	0.752448082	0.350766303	0.866632275	0.308588620	0.408758421	0.854772847	0.706659450	0.899992208	0.766573049	0.715345454	0.773716704	0.204686883	0.076431603	0.232200448	0.489293501	none	none
Gen0_Mut0_ID2	0.074449606	0.469495551	0.444113333	0.566269926	0.757319717	0.670405913	0.242788092	0.079450823	0.327079417	0.405448483	0.518577739	0.360436769	0.092338372	0.945234029	0.383805569	0.868737644	0.740860725	0.512907072	0.568738251	0.982453898	0.463261196	0.621802103	0.462461459	0.619525311	0.768428856	0.867255479	0.479287619	0.401651847	0.520250058	0.480709265	0.933098964	0.466386100	0.351178661	0.181782182	0.993631506	0.651060298	0.015428046	0.122771406	0.971556156	0.921625510	0.433036514	0.010088781	none	none
Gen0_Mut0_ID3	0.145783420	0.808423407	0.482025811	0.156594090	0.656910625	0.785962099	0.457356474	0.073794844	0.658830190	0.042787850	0.305148153	0.568705073	0.466475645	0.079616044	0.946635936	0.758973408	0.068681041	0.410316495	0.537492579	0.200563750	0.085948143	0.699209264	0.548509489	0.590427728	0.580189265	0.412910630	0.122585056	0.827614858	0.100509009	0.516544916	0.666790661	0.556873987	0.568815735	0.315426940	0.123636941	0.780714388	0.610029060	0.145858926	0.132264161	0.119058441	0.713877247	0.252474627	none	none
Gen0_Mut0_ID4	0.178754165	0.854602727	0.438885325	0.681102356	0.132832437	0.100410400	0.164426714	0.626689632	0.053606003	0.335127021	0.280821729	0.806536926	0.114261499	0.868437451	0.880522975	0.728544739	0.373754939	0.216172540	0.675493427	0.120434264	0.297196199	0.612714706	0.745164910	0.926520723	0.344121006	0.443074290	0.207767869	0.089041034	0.394455952	0.127382549	0.581420379	0.537894683	0.595459340	0.905585366	0.180465982	0.118320540	0.807646686	0.916411317	0.752901163	0.022946066	0.203686482	0.942226637	none	none
Gen0_Mut0_ID5	0.731478554	0.200178724	0.692778262	0.811373718	0.091103486	0.600068634	0.026647641	0.286198978	0.595058627	0.960682725	0.395749324	0.394887116	0.782172355	0.778851718	0.591573986	0.865034744	0.937815069	0.279295655	0.533113639	0.002378287	0.736501921	0.638350978	0.687498966	0.376962257	0.067708765	0.470966325	0.101111404	0.424080404	0.731699431	0.897891849	0.646424772	0.964903326	0.099388962	0.768775981	0.762683459	0.801119605	0.018744132	0.906923145	0.922625030	0.218582288	0.219948879	0.562754499	none	none
Gen0_Mut0_ID6	0.222539094	0.615553055	0.571702823	0.864804026	0.279937687	0.446863319	0.787567797	0.016490083	0.210297382	0.823955265	0.917210202	0.307890710	0.057285187	0.578050810	0.547112727	0.591131688	0.400419204	0.339550481	0.439984637	0.711683567	0.791795112	0.101286845	0.792659409	0.493086005	0.234515692	0.920870421	0.175359219	0.564515628	0.837863877	0.644482642	0.627698856	0.898414526	0.785236250	0.137009991	0.153402529	0.918562175	0.533080239	0.137201866	0.903559407	0.563386534	0.722555112	0.521574217	none	none
Gen0_Mut0_ID7	0.630363029	0.457069925	0.899484207	0.231157190	0.111173764	0.650025995	0.405344988	0.096204699	0.891292244	0.657786756	0.977379313	0.535088853	0.761695299	0.019340937	0.730759893	0.016924223	0.688290663	0.782650279	0.621388201	0.465121698	0.108227006	0.858875655	0.646063343	0.394948005	0.713311557	0.517496145	0.522449340	0.713599731	0.835067335	0.251355658	0.225579965	0.193564970	0.140689092	0.186960251	0.617992876	0.466958909	0.725133800	0.192889112	0.552184791	0.756684499	0.841807517	0.847970360	none	none
Gen0_Mut0_ID8	0.452787629	0.470912779	0.443126707	0.128203671	0.499245526	0.484372859	0.830110562	0.356934328	0.293711771	0.488976211	0.500131532	0.577002232	0.718051927	0.556601091	0.736346928	0.782263981	0.974498328	0.417270774	0.268941397	0.768971124	0.481808930	0.410291384	0.244257684	0.556810237	0.134601709	0.297809325	0.543446149	0.277480909	0.551139155	0.297753225	0.759989898	0.966388975	0.123313797	0.983163167	0.099563426	0.373696497	0.652313031	0.016199476	0.701034907	0.122883957	0.104417242	0.037662415	none	none
Gen0_Mut0_ID9	0.553612203	0.416643213	0.706274026	0.736342369	0.691173372	0.979965751	0.013214944	0.384937811	0.377105814	0.287367379	0.082413574	0.864182465	0.584300724	0.495906452	0.907248249	0.940068788	0.743495377	0.365873303	0.646965285	0.453919018	0.935600503	0.500520096	0.694392038	0.465168738	0.597684997	0.483214556	0.377928267	0.745813239	0.409885421	0.178161054	0.571039684	0.768148552	0.812732804	0.094622301	0.530329058	0.851853260	0.167867863	0.379613290	0.612361932	0.192121543	0.919839957	0.700328420	none	none
